invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100008,C199951,Male,65,Clothing,5,1500.40,Cash,10-07-2022,"Emaar Square Mall"
I100014,C138893,Male,55,Cosmetics,5,203.30,Cash,18-06-2021,"Viaport Outlet"
I100015,C132779,Female,35,Clothing,2,600.16,"Debit Card",04-03-2021,"Mall of Istanbul"
I100024,C244411,Female,67,Books,3,45.45,"Credit Card",05-01-2023,"Emaar Square Mall"
I100027,C150002,Female,19,Technology,4,4200.00,Cash,18-05-2022,"Mall of Istanbul"
I100028,C325553,Female,18,Clothing,1,300.08,"Credit Card",19-06-2021,Metrocity
I100031,C378408,Male,18,"Food & Beverage",3,15.69,"Credit Card",23-06-2022,"Emaar Square Mall"
I100033,C278721,Male,56,"Food & Beverage",4,20.92,"Credit Card",19-10-2021,"Zorlu Center"
I100037,C122873,Female,63,Clothing,1,300.08,"Debit Card",06-06-2021,Kanyon
I100041,C326923,Female,50,Cosmetics,3,121.98,Cash,24-07-2022,"Mall of Istanbul"
I100049,C297871,Male,39,Shoes,1,600.17,"Debit Card",26-12-2021,"Mall of Istanbul"
I100053,C217294,Female,21,Cosmetics,3,121.98,"Credit Card",02-01-2023,Metrocity
I100057,C225062,Female,25,Clothing,2,600.16,"Credit Card",13-10-2021,"Forum Istanbul"
I100059,C292544,Female,52,Souvenir,3,35.19,"Debit Card",14-06-2021,Metrocity
I100068,C647308,Female,52,Toys,2,71.68,"Credit Card",13-08-2021,"Metropol AVM"
I100071,C522050,Female,30,Clothing,3,900.24,Cash,16-10-2021,"Mall of Istanbul"
I100072,C143773,Male,64,Technology,5,5250.00,"Debit Card",10-08-2021,"Metropol AVM"
I100077,C356550,Male,46,"Food & Beverage",1,5.23,"Credit Card",03-02-2021,"Emaar Square Mall"
I100078,C272831,Male,46,Books,5,75.75,"Credit Card",10-07-2021,"Mall of Istanbul"
I100080,C696236,Male,55,Toys,4,143.36,"Credit Card",26-04-2022,"Metropol AVM"
I100082,C357288,Female,44,Souvenir,2,23.46,Cash,31-12-2021,"Cevahir AVM"
I100084,C226369,Female,68,Shoes,2,1200.34,"Credit Card",09-10-2022,Kanyon
I100089,C123196,Female,63,Clothing,5,1500.40,Cash,27-03-2022,"Emaar Square Mall"
I100090,C801451,Female,27,Shoes,4,2400.68,"Credit Card",17-04-2021,Metrocity
I100094,C246470,Female,68,Toys,2,71.68,Cash,18-12-2021,"Metropol AVM"
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-11-2021,"Istinye Park"
I100097,C673123,Female,63,"Food & Beverage",4,20.92,"Credit Card",24-08-2022,"Mall of Istanbul"
I100098,C228071,Male,49,Clothing,5,1500.40,Cash,16-11-2021,"Cevahir AVM"
I100105,C246820,Male,39,"Food & Beverage",4,20.92,"Debit Card",15-04-2022,Kanyon
I100106,C850385,Male,36,"Food & Beverage",2,10.46,"Credit Card",12-09-2021,"Metropol AVM"
I100108,C331773,Female,45,Books,4,60.60,"Credit Card",06-08-2021,"Cevahir AVM"
I100111,C314731,Female,46,Clothing,3,900.24,"Debit Card",13-09-2022,Metrocity
I100113,C136435,Male,48,Clothing,1,300.08,"Credit Card",31-01-2021,"Zorlu Center"
I100116,C235320,Female,60,Cosmetics,3,121.98,Cash,18-11-2022,"Metropol AVM"
I100126,C103405,Male,31,Clothing,3,900.24,"Credit Card",26-03-2022,"Emaar Square Mall"
I100127,C708853,Male,38,Clothing,2,600.16,"Debit Card",16-11-2021,"Cevahir AVM"
I100128,C168282,Female,23,Clothing,3,900.24,"Credit Card",16-07-2022,"Istinye Park"
I100137,C233463,Male,35,Shoes,5,3000.85,Cash,16-05-2021,"Mall of Istanbul"
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-06-2021,"Mall of Istanbul"
I100142,C161659,Male,37,Clothing,4,1200.32,"Debit Card",28-08-2021,"Metropol AVM"
I100145,C153189,Female,20,Clothing,5,1500.40,"Debit Card",10-12-2022,Kanyon
I100146,C320745,Female,24,Shoes,4,2400.68,"Credit Card",25-04-2022,"Emaar Square Mall"
I100148,C200488,Male,52,Shoes,4,2400.68,Cash,16-04-2022,"Zorlu Center"
I100149,C193896,Female,65,"Food & Beverage",5,26.15,Cash,17-11-2021,"Mall of Istanbul"
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-07-2021,Kanyon
I100152,C265676,Female,43,Shoes,5,3000.85,"Credit Card",25-02-2021,"Mall of Istanbul"
I100155,C312476,Female,30,"Food & Beverage",4,20.92,"Credit Card",29-06-2021,"Metropol AVM"
I100156,C462935,Female,69,Books,3,45.45,"Credit Card",25-01-2021,"Metropol AVM"
I100161,C262871,Female,30,Clothing,1,300.08,Cash,11-04-2021,Kanyon
I100168,C135319,Male,43,Shoes,4,2400.68,Cash,15-11-2021,"Zorlu Center"
I100173,C190374,Female,69,"Food & Beverage",1,5.23,Cash,18-05-2021,"Metropol AVM"
I100174,C286570,Female,36,Clothing,1,300.08,Cash,07-12-2021,"Mall of Istanbul"
I100181,C123341,Female,33,Clothing,5,1500.40,Cash,18-04-2022,Metrocity
I100184,C131276,Female,32,Cosmetics,2,81.32,Cash,18-09-2022,Kanyon
I100186,C222236,Male,62,Clothing,1,300.08,"Debit Card",30-01-2023,"Zorlu Center"
I100187,C178869,Female,41,"Food & Beverage",1,5.23,"Credit Card",28-07-2021,Metrocity
I100192,C161234,Male,57,Clothing,1,300.08,"Debit Card",17-11-2021,"Mall of Istanbul"
I100193,C149918,Male,34,Clothing,1,300.08,"Debit Card",26-02-2022,"Istinye Park"
I100195,C322199,Female,34,"Food & Beverage",5,26.15,"Debit Card",20-12-2022,"Mall of Istanbul"
I100198,C136883,Female,58,Cosmetics,5,203.30,"Credit Card",18-07-2021,"Cevahir AVM"
I100199,C275614,Female,31,Books,5,75.75,Cash,25-02-2022,"Istinye Park"
I100200,C948033,Male,24,Toys,4,143.36,Cash,28-07-2021,Metrocity
I100201,C982027,Male,57,Souvenir,5,58.65,Cash,20-03-2021,"Istinye Park"
I100202,C182496,Male,45,"Food & Beverage",4,20.92,"Credit Card",20-11-2022,Kanyon
I100205,C220151,Male,32,Clothing,5,1500.40,"Credit Card",26-06-2021,"Istinye Park"
I100207,C452901,Male,22,Clothing,4,1200.32,"Credit Card",19-04-2021,Metrocity
I100211,C239527,Female,59,Clothing,2,600.16,"Debit Card",10-02-2021,Metrocity
I100212,C282695,Female,60,Souvenir,3,35.19,"Credit Card",31-08-2021,Kanyon
I100214,C989972,Female,42,Clothing,3,900.24,Cash,06-03-2022,"Istinye Park"
I100215,C198589,Male,27,Shoes,3,1800.51,"Debit Card",12-04-2021,"Mall of Istanbul"
I100216,C145243,Male,27,Cosmetics,1,40.66,Cash,09-03-2022,"Mall of Istanbul"
I100218,C205490,Male,37,"Food & Beverage",1,5.23,Cash,15-10-2022,Kanyon
I100220,C122251,Male,25,Clothing,5,1500.40,Cash,26-05-2021,"Mall of Istanbul"
I100223,C212702,Female,45,Shoes,5,3000.85,"Credit Card",21-11-2022,Metrocity
I100225,C128382,Male,44,Cosmetics,3,121.98,"Credit Card",12-10-2022,"Istinye Park"
I100227,C364271,Female,67,Toys,3,107.52,Cash,13-05-2022,Metrocity
I100228,C248381,Male,42,Clothing,2,600.16,Cash,21-02-2023,"Mall of Istanbul"
I100229,C397160,Male,27,Cosmetics,4,162.64,"Debit Card",28-02-2023,"Mall of Istanbul"
I100231,C274640,Female,67,Technology,1,1050.00,"Debit Card",19-07-2021,"Metropol AVM"
I100240,C240922,Female,22,Cosmetics,3,121.98,"Credit Card",20-10-2022,"Cevahir AVM"
I100243,C332855,Female,42,Clothing,1,300.08,Cash,12-01-2023,Kanyon
I100249,C209647,Male,40,Clothing,5,1500.40,"Credit Card",19-12-2022,Kanyon
I100251,C228482,Female,36,Souvenir,4,46.92,Cash,29-05-2022,"Metropol AVM"
I100261,C315632,Female,41,Cosmetics,2,81.32,"Credit Card",03-03-2023,"Mall of Istanbul"
I100267,C299948,Female,57,Cosmetics,4,162.64,"Debit Card",11-12-2022,Kanyon
I100271,C892772,Male,37,Toys,4,143.36,"Debit Card",13-02-2021,Metrocity
I100273,C291963,Female,67,Toys,5,179.20,Cash,10-05-2021,"Cevahir AVM"
I100281,C711548,Male,39,Toys,1,35.84,"Debit Card",28-06-2021,Kanyon
I100282,C836957,Male,45,Clothing,3,900.24,Cash,30-07-2022,"Viaport Outlet"
I100284,C174674,Female,66,Clothing,2,600.16,"Credit Card",13-08-2022,Kanyon
I100288,C435081,Female,33,"Food & Beverage",3,15.69,"Credit Card",13-02-2022,Kanyon
I100290,C118172,Male,45,Cosmetics,3,121.98,"Credit Card",24-12-2021,"Mall of Istanbul"
I100291,C832260,Male,18,Clothing,5,1500.40,"Debit Card",03-08-2021,"Istinye Park"
I100292,C721616,Female,21,Clothing,2,600.16,Cash,16-08-2022,"Mall of Istanbul"
